trade_num,direction,entry_price,sl,tp,exit_price,pnl,exit_reason,bars_held,rr_ratio
164,short,2371.11,2377.11,2359.30,2359.30,11.81,TP_HIT,1,2.0
165,long,2364.69,2358.69,2383.74,2358.69,-6.00,SL_HIT,74,3.2
166,long,2365.63,2359.63,2385.55,2359.63,-6.00,SL_HIT,5,3.3
167,long,2372.82,2366.82,2382.90,2382.90,10.08,TP_HIT,80,1.7
168,long,2406.01,2400.01,2432.50,2400.01,-6.00,SL_HIT,11,4.4
169,long,2405.26,2405.26,2430.47,2405.26,0.00,SL_HIT,185,4.2
170,long,2406.37,2406.37,2426.23,2426.23,19.86,TP_HIT,237,3.3
171,long,2430.14,2430.14,2449.84,2430.14,0.00,SL_HIT,117,3.3
172,long,2439.13,2439.13,2467.18,2467.18,28.05,TP_HIT,74,4.7
173,long,2473.27,2467.27,2483.12,2467.27,-6.00,SL_HIT,27,1.6
174,long,2470.40,2464.40,2480.97,2464.40,-6.00,SL_HIT,27,1.8
175,long,2469.90,2463.90,2480.05,2480.05,10.15,TP_HIT,70,1.7
176,long,2467.38,2461.38,2487.48,2461.38,-6.00,SL_HIT,121,3.3
177,long,2468.02,2462.02,2478.07,2462.02,-6.00,SL_HIT,11,1.7
178,long,2403.74,2397.74,2417.52,2397.74,-6.00,SL_HIT,27,2.3
179,long,2402.18,2396.18,2417.76,2396.18,-6.00,SL_HIT,120,2.6
180,long,2396.30,2390.30,2415.04,2390.30,-6.00,SL_HIT,118,3.1
181,long,2393.20,2393.20,2415.58,2415.58,22.38,TP_HIT,215,3.7
182,long,2417.96,2411.96,2436.71,2411.96,-6.00,SL_HIT,18,3.1
183,long,2422.35,2416.35,2431.63,2431.63,9.28,TP_HIT,14,1.5
184,short,2360.79,2366.79,2349.72,2366.79,-6.00,SL_HIT,101,1.8
185,long,2370.21,2364.21,2380.99,2380.99,10.78,TP_HIT,133,1.8
186,long,2382.71,2376.71,2392.11,2392.11,9.40,TP_HIT,82,1.6
187,long,2394.04,2388.04,2412.36,2388.04,-6.00,SL_HIT,8,3.1
188,long,2394.80,2394.80,2412.86,2412.86,18.06,TP_HIT,112,3.0
189,long,2416.54,2410.54,2425.88,2425.88,9.34,TP_HIT,105,1.6
190,long,2423.75,2417.75,2432.83,2432.83,9.08,TP_HIT,2,1.5
191,long,2435.01,2429.01,2444.07,2444.07,9.06,TP_HIT,5,1.5
