trade_num,direction,entry_price,sl,tp,exit_price,pnl,exit_reason,bars_held,rr_ratio
77,long,1221.97,1215.97,1244.11,1215.97,-6.00,SL_HIT,68,3.7
78,long,1212.72,1206.72,1230.81,1206.72,-6.00,SL_HIT,75,3.0
79,short,1164.06,1164.06,1148.16,1148.16,15.90,TP_HIT,11,2.6
80,long,1151.38,1145.38,1160.72,1145.38,-6.00,SL_HIT,20,1.6
81,long,1133.45,1127.45,1151.45,1127.45,-6.00,SL_HIT,60,3.0
82,long,1139.86,1133.86,1158.76,1133.86,-6.00,SL_HIT,83,3.1
83,long,1134.29,1128.29,1152.83,1128.29,-6.00,SL_HIT,32,3.1
84,long,1128.78,1122.78,1138.42,1122.78,-6.00,SL_HIT,24,1.6
85,long,1130.21,1124.21,1155.77,1124.21,-6.00,SL_HIT,226,4.3
86,long,1120.88,1114.88,1139.92,1128.60,7.72,MAX_HOLD,288,3.2
87,long,1119.39,1119.39,1142.04,1138.50,19.11,MAX_HOLD,288,3.8
88,long,1138.22,1132.22,1156.37,1132.22,-6.00,SL_HIT,59,3.0
89,long,1102.62,1096.62,1112.37,1096.62,-6.00,SL_HIT,187,1.6
90,long,1084.88,1078.88,1094.15,1094.15,9.27,TP_HIT,272,1.5
91,long,1092.91,1092.91,1111.36,1111.36,18.45,TP_HIT,200,3.1
92,long,1092.65,1086.65,1101.68,1101.68,9.03,TP_HIT,159,1.5
93,long,1101.88,1101.88,1121.83,1121.83,19.95,TP_HIT,113,3.3
94,long,1127.05,1121.05,1145.65,1121.05,-6.00,SL_HIT,51,3.1
95,long,1130.83,1130.83,1158.13,1158.13,27.30,TP_HIT,194,4.6
96,short,1140.16,1146.16,1130.79,1130.79,9.38,TP_HIT,182,1.6
97,long,1137.24,1131.24,1147.89,1131.24,-6.00,SL_HIT,144,1.8
98,short,1091.88,1097.88,1073.28,1097.88,-6.00,SL_HIT,41,3.1
99,long,1097.01,1091.01,1116.06,1091.01,-6.00,SL_HIT,281,3.2
100,short,1084.60,1090.60,1064.14,1090.60,-6.00,SL_HIT,245,3.4
101,long,1100.88,1100.88,1119.33,1116.38,15.51,MAX_HOLD,288,3.1
102,long,1124.00,1118.00,1143.59,1118.00,-6.00,SL_HIT,17,3.3
103,short,1103.68,1103.68,1081.33,1081.33,22.35,TP_HIT,67,3.7
104,short,1066.46,1072.46,1043.72,1072.46,-6.00,SL_HIT,171,3.8
105,short,1082.98,1088.98,1067.23,1088.98,-6.00,SL_HIT,28,2.6
106,long,1091.94,1085.94,1101.17,1101.17,9.22,TP_HIT,140,1.5
107,long,1103.70,1097.70,1112.70,1112.70,9.00,TP_HIT,77,1.5
108,short,1115.19,1121.19,1105.89,1121.19,-6.00,SL_HIT,186,1.5
109,short,1106.53,1112.53,1096.40,1112.53,-6.00,SL_HIT,43,1.7
110,short,1118.45,1124.45,1095.56,1124.45,-6.00,SL_HIT,13,3.8
111,short,1120.26,1120.26,1100.38,1110.88,9.38,MAX_HOLD,288,3.3
112,long,1099.98,1093.98,1110.51,1093.98,-6.00,SL_HIT,36,1.8
113,short,1090.26,1096.26,1079.53,1096.26,-6.00,SL_HIT,124,1.8
114,long,1113.22,1107.22,1123.34,1123.34,10.12,TP_HIT,139,1.7
115,long,1121.15,1115.15,1141.19,1115.15,-6.00,SL_HIT,129,3.3
116,long,1127.00,1121.00,1137.55,1137.55,10.55,TP_HIT,37,1.8
117,long,1138.45,1132.45,1147.53,1139.10,0.64,MAX_HOLD,288,1.5
118,long,1133.50,1127.50,1156.00,1127.50,-6.00,SL_HIT,243,3.8
119,long,1116.76,1110.76,1125.95,1125.95,9.20,TP_HIT,167,1.5
120,long,1117.33,1111.33,1127.03,1111.33,-6.00,SL_HIT,39,1.6
121,long,1120.62,1120.62,1149.87,1126.50,5.88,MAX_HOLD,288,4.9
122,long,1124.70,1118.70,1144.95,1118.70,-6.00,SL_HIT,53,3.4
123,short,1102.84,1108.84,1093.28,1093.28,9.56,TP_HIT,14,1.6
124,long,1102.28,1096.28,1121.78,1096.28,-6.00,SL_HIT,213,3.2
125,long,1092.33,1086.33,1110.63,1097.35,5.02,MAX_HOLD,288,3.1
126,short,1104.03,1110.03,1092.97,1110.03,-6.00,SL_HIT,219,1.8
127,long,1121.45,1115.45,1141.79,1125.58,4.13,MAX_HOLD,288,3.4
128,long,1132.16,1126.16,1151.27,1143.18,11.02,MAX_HOLD,288,3.2
129,long,1148.87,1142.87,1169.47,1151.73,2.87,MAX_HOLD,288,3.4
130,long,1157.17,1151.17,1175.17,1151.17,-6.00,SL_HIT,261,3.0
131,short,1149.10,1149.10,1131.01,1131.01,18.09,TP_HIT,16,3.0
132,long,1142.78,1136.78,1157.18,1136.78,-6.00,SL_HIT,236,2.4
133,long,1152.94,1152.94,1174.30,1171.58,18.64,MAX_HOLD,288,3.6
134,long,1184.27,1178.27,1203.77,1178.27,-6.00,SL_HIT,202,3.2
135,long,1183.91,1177.91,1202.21,1177.91,-6.00,SL_HIT,62,3.1
136,short,1170.15,1170.15,1143.75,1170.15,0.00,SL_HIT,273,4.4
137,long,1180.39,1180.39,1202.80,1202.80,22.41,TP_HIT,104,3.7
138,long,1206.71,1200.71,1226.62,1200.71,-6.00,SL_HIT,63,3.3
139,long,1204.83,1198.83,1222.98,1198.83,-6.00,SL_HIT,60,3.0
140,long,1199.64,1199.64,1219.44,1219.44,19.80,TP_HIT,271,3.3
141,long,1224.41,1224.41,1242.96,1242.96,18.54,TP_HIT,171,3.1
142,short,1240.95,1246.95,1231.88,1246.95,-6.00,SL_HIT,79,1.5
143,long,1241.69,1235.69,1250.77,1235.69,-6.00,SL_HIT,48,1.5
144,long,1237.85,1231.85,1247.00,1231.85,-6.00,SL_HIT,81,1.5
145,long,1215.11,1215.11,1234.01,1215.11,0.00,SL_HIT,134,3.1
146,long,1218.61,1212.61,1230.24,1212.61,-6.00,SL_HIT,6,1.9
147,short,1208.99,1208.99,1189.73,1189.73,19.26,TP_HIT,73,3.2
148,long,1193.75,1187.75,1212.35,1187.75,-6.00,SL_HIT,126,3.1
149,short,1180.05,1186.05,1169.45,1186.05,-6.00,SL_HIT,15,1.8
150,long,1185.82,1179.82,1195.27,1179.82,-6.00,SL_HIT,11,1.6
151,long,1191.47,1185.47,1201.14,1201.14,9.68,TP_HIT,211,1.6
152,long,1211.33,1205.33,1233.68,1212.28,0.95,MAX_HOLD,288,3.7
